	chembl-id	pot.(log,Ki)	pot.(nMol,Ki)	aromatic_smiles	non_stereo_aromatic_smieles	all-chembl-ids	no.-meas.	pref_name	accession	natoms	core	sub	sub_carbon_replacement	arorings	a_acc	a_don	a_heavy	logP(o/w)	RBC	rings	TPSA	vdw_vol	Weight
605	CHEMBL379823	8.4	4.0	CCN(CC)CC(C1CCCCC1)N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4	CCN(CC)CC(C1CCCCC1)N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4	CHEMBL379823	1	Melanocortin receptor 4	P32245	43	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]C(CN(CC)CC)C1CCCCC1	CC(CN(CC)CC)C1CCCCC1	0	1	0	14	3.7939999	5	1	3.24	255.8092	197.366
606	CHEMBL379423	8.4	4.0	CCN(CC)CC(C1CCCC1)N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4	CCN(CC)CC(C1CCCC1)N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4	CHEMBL379423	1	Melanocortin receptor 4	P32245	42	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]C(CN(CC)CC)C1CCCC1	CC(CN(CC)CC)C1CCCC1	0	1	0	13	3.352	5	1	3.24	237.28172	183.33899
607	CHEMBL360716	8.19	6.4	CC(c1ccccc1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4)NC6CCCNC6	CC(c1ccccc1N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4)NC6CCCNC6	CHEMBL360716	3	Melanocortin receptor 4	P32245	45	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]c1ccccc1C(C)NC1CCCNC1	Cc1ccccc1C(C)NC1CCCNC1	1	2	2	16	2.707	3	2	24.059999	276.19577	218.34399
608	CHEMBL185417	7.96	11.0	CC(c1ccccc1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4)NC6CCCC6	CC(c1ccccc1N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4)NC6CCCC6	CHEMBL185417	1	Melanocortin receptor 4	P32245	44	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]c1ccccc1C(C)NC1CCCC1	Cc1ccccc1C(C)NC1CCCC1	1	1	1	15	3.9820001	3	2	12.03	263.793	203.32899
609	CHEMBL366706	7.95	11.152099	c1ccc2c(c1)C[C@@H](NC2)C(=O)N[C@H](Cc3ccc(cc3)Cl)C(=O)N4CCN(CC4)c5ccccc5CNCCc6cccs6	c1ccc2c(c1)CC(NC2)C(=O)NC(Cc3ccc(cc3)Cl)C(=O)N4CCN(CC4)c5ccccc5CNCCc6cccs6	CHEMBL366706	5	Melanocortin receptor 4	P32245	45	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]c1ccccc1CNCCc1cccs1	Cc1ccccc1CNCCc1cccs1	2	1	1	16	3.3889999	5	2	12.03	286.1759	231.36299
610	CHEMBL365636	7.92	12.0	CC(c1ccccc1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4)NCc6ccco6	CC(c1ccccc1N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4)NCc6ccco6	CHEMBL365636	1	Melanocortin receptor 4	P32245	45	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]c1ccccc1C(C)NCc1ccco1	Cc1ccccc1C(C)NCc1ccco1	2	1	1	16	2.948	4	2	25.17	274.45441	215.29599
611	CHEMBL185035	7.89	13.0	CC(c1ccccc1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4)N[C@H]6CCNC6	CC(c1ccccc1N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4)NC6CCNC6	CHEMBL185035	1	Melanocortin receptor 4	P32245	44	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]c1ccccc1C(C)N[C@H]1CCNC1	Cc1ccccc1C(C)N[C@H]1CCNC1	1	2	2	15	2.2650001	3	2	24.059999	257.6683	204.317
612	CHEMBL184405	7.89	13.0	CC(c1ccccc1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4)N[C@H]6CCCCC6N	CC(c1ccccc1N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4)NC6CCCCC6N	CHEMBL184405	1	Melanocortin receptor 4	P32245	46	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]c1ccccc1C(C)N[C@H]1CCCCC1N	Cc1ccccc1C(C)N[C@H]1CCCCC1N	1	2	2	17	3.187	3	2	38.049999	292.17395	232.371
613	CHEMBL209825	7.89	13.0	CCN(CC)CC(CC1CCCCC1)N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4	CCN(CC)CC(CC1CCCCC1)N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4	CHEMBL209825	1	Melanocortin receptor 4	P32245	44	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]C(CC1CCCCC1)CN(CC)CC	CC(CC1CCCCC1)CN(CC)CC	0	1	0	15	4.2360001	6	1	3.24	274.33667	211.39299
614	CHEMBL379719	7.89	13.0	CCN(CC)CC(C1CCCCCC1)N2CCN(CC2)C(=O)[C@@H](Cc3ccc(cc3)Cl)NC(=O)[C@H]4Cc5ccccc5CN4	CCN(CC)CC(C1CCCCCC1)N2CCN(CC2)C(=O)C(Cc3ccc(cc3)Cl)NC(=O)C4Cc5ccccc5CN4	CHEMBL379719	1	Melanocortin receptor 4	P32245	44	O=C(N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN([*:1])CC1)[C@H]1Cc2ccccc2CN1	[1*]C(CN(CC)CC)C1CCCCCC1	CC(CN(CC)CC)C1CCCCCC1	0	1	0	15	4.2360001	5	1	3.24	274.33667	211.39299
