	chembl-id	pot.(log,Ki)	pot.(nMol,Ki)	aromatic_smiles	non_stereo_aromatic_smieles	all-chembl-ids	no.-meas.	pref_name	accession	natoms	core	sub	sub_carbon_replacement	arorings	a_acc	a_don	a_heavy	logP(o/w)	RBC	rings	TPSA	vdw_vol	Weight
286	CHEMBL3685056	10.7	0.02	Cc1ccc(cc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)O	Cc1ccc(cc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)O	CHEMBL3685056	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cc(O)ccc1C	Cc1cc(O)ccc1C	1	1	1	9	2.2290001	0	1	20.23	155.30031	122.167
287	CHEMBL3639840	10.7	0.02	Cc1c(cncc1F)c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1c(cncc1F)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3639840	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cncc(F)c1C	Cc1cncc(F)c1C	1	1	0	9	1.4170001	0	1	12.89	148.18817	125.146
288	CHEMBL3685020	10.52	0.03	Cc1ccncc1c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1ccncc1c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3685020	2	Tyrosine-protein kinase ABL	P00519	23	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cnccc1C	Cc1cnccc1C	1	1	0	8	1.6088001	0	1	12.89	142.09508	107.156
289	CHEMBL3685089	10.52	0.03	Cc1c(cccc1O)c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1c(cccc1O)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3685089	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cccc(O)c1C	Cc1cccc(O)c1C	1	1	1	9	2.1900001	0	1	20.23	155.30031	122.167
290	CHEMBL3685023	10.4	0.04	c1cc(cc2c1cc(nc2)NC(=O)C3CC3)c4cc(ccc4Cl)O	c1cc(cc2c1cc(nc2)NC(=O)C3CC3)c4cc(ccc4Cl)O	CHEMBL3685023	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cc(O)ccc1Cl	Cc1cc(O)ccc1Cl	1	1	1	9	2.523	0	1	20.23	155.67963	142.58499
291	CHEMBL3685179	10.4	0.04	Cc1c(cncc1O)c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1c(cncc1O)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3685179	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cncc(O)c1C	Cc1cncc(O)c1C	1	2	1	9	0.95599997	0	1	33.119999	149.1756	123.155
292	CHEMBL3685147	10.15	0.07	c1cc(cc2c1cc(nc2)NC(=O)C3CC3)c4cnccc4Cl	c1cc(cc2c1cc(nc2)NC(=O)C3CC3)c4cnccc4Cl	CHEMBL3685147	2	Tyrosine-protein kinase ABL	P00519	23	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cnccc1Cl	Cc1cnccc1Cl	1	1	0	8	1.561	0	1	12.89	142.47438	127.574
293	CHEMBL3689696	10.15	0.0709	Cc1cccc(c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)F	Cc1cccc(c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)F	CHEMBL3689696	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1c(C)cccc1F	Cc1c(C)cccc1F	1	0	0	9	2.651	0	1	0.0	154.31288	124.158
294	CHEMBL3689723	10.05	0.0896	Cc1ccc[n+](c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)[O-]	Cc1ccc[n+](c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)[O-]	CHEMBL3689723	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1c(C)ccc[n+]1[O-]	Cc1c(C)ccc[n+]1[O-]	1	1	0	9	1.446	0	1	25.459999	150.59477	123.155
295	CHEMBL3685097	10.05	0.09	c1cc(cc2c1cc(nc2)NC(=O)C3CC3)c4ccc(c(c4)O)F	c1cc(cc2c1cc(nc2)NC(=O)C3CC3)c4ccc(c(c4)O)F	CHEMBL3685097	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1ccc(F)c(O)c1	Cc1ccc(F)c(O)c1	1	1	1	9	2.0840001	0	1	20.23	142.86594	126.13
296	CHEMBL3685178	10.05	0.09	Cc1c(cncc1N)c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1c(cncc1N)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3685178	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cncc(N)c1C	Cc1cncc(N)c1C	1	1	1	9	0.59200001	0	1	38.91	151.94855	122.171
297	CHEMBL3685035	10.0	0.1	Cc1cccnc1c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1cccnc1c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3685035	2	Tyrosine-protein kinase ABL	P00519	23	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1ncccc1C	Cc1ncccc1C	1	1	0	8	1.5707999	0	1	12.89	142.09508	107.156
298	CHEMBL3685146	10.0	0.1	Cc1cc(ncc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)Cl	Cc1cc(ncc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)Cl	CHEMBL3685146	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cnc(Cl)cc1C	Cc1cnc(Cl)cc1C	1	1	0	9	2.3010001	0	1	12.89	161.00186	141.601
299	CHEMBL3685172	10.0	0.1	c1cc(c(nc1)CO)c2ccc3cc(ncc3c2)NC(=O)C4CC4	c1cc(c(nc1)CO)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3685172	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cccnc1CO	Cc1cccnc1CO	1	2	1	9	0.40900001	1	1	33.119999	149.1756	123.155
300	CHEMBL3689606	10.0	0.1	Cc1c(cc(cn1)O)c2ccc3cc(ncc3c2)NC(=O)C4CC4	Cc1c(cc(cn1)O)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3689606	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1cc(O)cnc1C	Cc1cc(O)cnc1C	1	2	1	9	0.95700002	0	1	33.119999	149.1756	123.155
302	CHEMBL3689697	9.8	0.158	Cc1cccc(c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)Cl	Cc1cccc(c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)Cl	CHEMBL3689697	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1c(C)cccc1Cl	Cc1c(C)cccc1Cl	1	0	0	9	3.0899999	0	1	0.0	167.12657	140.61299
303	CHEMBL3689743	9.78	0.167	Cc1cc[n+](cc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)[O-]	Cc1cc[n+](cc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)[O-]	CHEMBL3689743	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1c[n+]([O-])ccc1C	Cc1c[n+]([O-])ccc1C	1	1	0	9	1.484	0	1	25.459999	150.59477	123.155
304	CHEMBL3689706	9.76	0.173	c1ccc(c(c1)C#N)c2ccc3cc(ncc3c2)NC(=O)C4CC4	c1ccc(c(c1)C#N)c2ccc3cc(ncc3c2)NC(=O)C4CC4	CHEMBL3689706	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1ccccc1C#N	Cc1ccccc1C#N	1	1	0	9	1.862	0	1	23.790001	158.07326	117.151
305	CHEMBL3689699	9.76	0.175	c1cc(c(c(c1)F)c2ccc3cc(ncc3c2)NC(=O)C4CC4)F	c1cc(c(c(c1)F)c2ccc3cc(ncc3c2)NC(=O)C4CC4)F	CHEMBL3689699	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1c(F)cccc1F	Cc1c(F)cccc1F	1	0	0	9	2.506	0	1	0.0	141.87851	128.121
306	CHEMBL3639885	9.69	0.204	Cc1cccc(c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)C	Cc1cccc(c1c2ccc3cc(ncc3c2)NC(=O)C4CC4)C	CHEMBL3639885	2	Tyrosine-protein kinase ABL	P00519	24	O=C(Nc1cc2ccc([*:1])cc2cn1)C1CC1	[1*]c1c(C)cccc1C	Cc1c(C)cccc1C	1	0	0	9	3.3087001	0	1	0.0	166.74727	120.195
