	chembl-id	pot.(log,Ki)	pot.(nMol,Ki)	aromatic_smiles	non_stereo_aromatic_smieles	all-chembl-ids	no.-meas.	pref_name	accession	natoms	core	sub	sub_carbon_replacement	arorings	a_acc	a_don	a_heavy	logP(o/w)	RBC	rings	TPSA	vdw_vol	Weight
507	CHEMBL2180931	9.52	0.3	C[C@@H](c1ccccc1)Nc2nc3c(cn(n3)C)c4n2nc(n4)c5ccco5	CC(c1ccccc1)Nc2nc3c(cn(n3)C)c4n2nc(n4)c5ccco5	CHEMBL2180931	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]N[C@@H](C)c1ccccc1	CN[C@@H](C)c1ccccc1	1	1	1	10	2.1489999	2	1	12.03	179.15002	135.20999
508	CHEMBL2180933	8.97	1.07	Cc1ccc(cc1)CNc2nc3c(cn(n3)C)c4n2nc(n4)c5ccco5	Cc1ccc(cc1)CNc2nc3c(cn(n3)C)c4n2nc(n4)c5ccco5	CHEMBL2180933	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NCc1ccc(C)cc1	CNCc1ccc(C)cc1	1	1	1	10	1.985	2	1	12.03	179.15002	135.20999
509	CHEMBL576369	8.9	1.25	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NC(=O)Cc5ccsc5	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NC(=O)Cc5ccsc5	CHEMBL576369	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NC(=O)Cc1ccsc1	CNC(=O)Cc1ccsc1	1	1	1	10	0.94300002	2	1	29.1	171.55849	155.22099
510	CHEMBL2180935	8.7	1.99	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NCc5ccc(cc5)Cl	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NCc5ccc(cc5)Cl	CHEMBL2180935	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NCc1ccc(Cl)cc1	CNCc1ccc(Cl)cc1	1	1	1	10	2.279	2	1	12.03	179.52933	155.62799
511	CHEMBL2180930	8.6	2.49	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NCc5ccccc5	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NCc5ccccc5	CHEMBL2180930	1	Adenosine A3 receptor	P0DMS8	26	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NCc1ccccc1	CNCc1ccccc1	1	1	1	9	1.687	2	1	12.03	160.62254	121.183
512	CHEMBL2181156	8.42	3.82	CCCCC(CC)CNc1nc2c(cn(n2)C)c3n1nc(n3)c4ccco4	CCCCC(CC)CNc1nc2c(cn(n2)C)c3n1nc(n3)c4ccco4	CHEMBL2181156	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NCC(CC)CCCC	CNCC(CC)CCCC	0	1	1	10	2.98	6	0	12.03	187.14439	143.274
513	CHEMBL2180936	8.31	4.93	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NCc5ccc(cc5)F	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NCc5ccc(cc5)F	CHEMBL2180936	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NCc1ccc(F)cc1	CNCc1ccc(F)cc1	1	1	1	10	1.84	2	1	12.03	166.71564	139.173
514	CHEMBL2181150	8.28	5.23	CCC(C)Nc1nc2c(cn(n2)C)c3n1nc(n3)c4ccco4	CCC(C)Nc1nc2c(cn(n2)C)c3n1nc(n3)c4ccco4	CHEMBL2181150	1	Adenosine A3 receptor	P0DMS8	23	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NC(C)CC	CNC(C)CC	0	1	1	6	1.316	2	0	12.03	113.0345	87.166
515	CHEMBL573807	8.28	5.26	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NC(=O)Cc5cccs5	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NC(=O)Cc5cccs5	CHEMBL573807	1	Adenosine A3 receptor	P0DMS8	27	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NC(=O)Cc1cccs1	CNC(=O)Cc1cccs1	1	1	1	10	0.82300001	2	1	29.1	171.55849	155.22099
516	CHEMBL2181160	8.11	7.68	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NC5CCCC5	Cn1cc2c(n1)nc(n3c2nc(n3)c4ccco4)NC5CCCC5	CHEMBL2181160	1	Adenosine A3 receptor	P0DMS8	24	Cn1cc2c(nc([*:1])n3nc(-c4ccco4)nc23)n1	[1*]NC1CCCC1	CNC1CCCC1	0	1	1	7	1.436	1	1	12.03	123.5676	99.177002
